index,action
0,allow
1,allow
2,inject
3,allow
4,allow
5,allow
6,inject
7,allow
8,inject
9,allow
10,inject
11,allow
12,allow
13,inject
14,inject
15,allow
16,allow
17,inject
18,allow
19,inject
20,allow
21,allow
22,inject
23,inject
24,allow
25,inject
26,inject
27,allow
28,inject
29,allow
30,allow
31,inject
32,allow
33,allow
34,inject
35,allow
36,inject
37,allow
38,inject
39,allow
40,allow
41,inject
42,inject
43,inject
44,inject
45,inject
46,allow
47,inject
48,allow
49,allow
50,inject
51,allow
52,inject
53,allow
54,allow
55,allow
56,allow
57,inject
58,allow
59,inject
60,inject
61,inject
62,allow
63,allow
64,allow
65,inject
66,inject
67,inject
68,allow
69,allow
70,inject
71,allow
72,inject
73,inject
74,inject
75,inject
76,allow
77,inject
78,allow
79,inject
80,allow
81,allow
82,allow
83,inject
84,inject
85,inject
86,inject
87,allow
88,allow
89,inject
90,inject
91,allow
92,allow
93,inject
94,inject
95,allow
96,inject
97,inject
98,allow
99,inject
